modelo;modo;genotipo;fold;real;predito;n
svm;agrupado;todos;1;IRRIG;IRRIG;163
svm;agrupado;todos;1;NIRRIG;IRRIG;13
svm;agrupado;todos;1;IRRIG;NIRRIG;30
svm;agrupado;todos;1;NIRRIG;NIRRIG;179
svm;agrupado;todos;2;IRRIG;IRRIG;163
svm;agrupado;todos;2;NIRRIG;IRRIG;12
svm;agrupado;todos;2;IRRIG;NIRRIG;30
svm;agrupado;todos;2;NIRRIG;NIRRIG;180
svm;agrupado;todos;3;IRRIG;IRRIG;165
svm;agrupado;todos;3;NIRRIG;IRRIG;16
svm;agrupado;todos;3;IRRIG;NIRRIG;28
svm;agrupado;todos;3;NIRRIG;NIRRIG;176
svm;agrupado;todos;4;IRRIG;IRRIG;173
svm;agrupado;todos;4;NIRRIG;IRRIG;19
svm;agrupado;todos;4;IRRIG;NIRRIG;20
svm;agrupado;todos;4;NIRRIG;NIRRIG;173
svm;agrupado;todos;5;IRRIG;IRRIG;159
svm;agrupado;todos;5;NIRRIG;IRRIG;27
svm;agrupado;todos;5;IRRIG;NIRRIG;33
svm;agrupado;todos;5;NIRRIG;NIRRIG;165
