modelo;modo;genotipo;fold;real;predito;n
random_forest;por_genotipo;CD202;1;IRRIG;IRRIG;46
random_forest;por_genotipo;CD202;1;NIRRIG;IRRIG;0
random_forest;por_genotipo;CD202;1;IRRIG;NIRRIG;0
random_forest;por_genotipo;CD202;1;NIRRIG;NIRRIG;45
random_forest;por_genotipo;CD202;2;IRRIG;IRRIG;46
random_forest;por_genotipo;CD202;2;NIRRIG;IRRIG;0
random_forest;por_genotipo;CD202;2;IRRIG;NIRRIG;0
random_forest;por_genotipo;CD202;2;NIRRIG;NIRRIG;45
random_forest;por_genotipo;CD202;3;IRRIG;IRRIG;44
random_forest;por_genotipo;CD202;3;NIRRIG;IRRIG;2
random_forest;por_genotipo;CD202;3;IRRIG;NIRRIG;1
random_forest;por_genotipo;CD202;3;NIRRIG;NIRRIG;43
random_forest;por_genotipo;CD202;4;IRRIG;IRRIG;46
random_forest;por_genotipo;CD202;4;NIRRIG;IRRIG;0
random_forest;por_genotipo;CD202;4;IRRIG;NIRRIG;0
random_forest;por_genotipo;CD202;4;NIRRIG;NIRRIG;44
random_forest;por_genotipo;CD202;5;IRRIG;IRRIG;45
random_forest;por_genotipo;CD202;5;NIRRIG;IRRIG;1
random_forest;por_genotipo;CD202;5;IRRIG;NIRRIG;0
random_forest;por_genotipo;CD202;5;NIRRIG;NIRRIG;44
